"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","S650SV068",,,,"User:","root"
"Cmdline:","dstat -C -D -N -m -r -y -g -i -l -p -s -t -T --noheaders --output /home/matheus/sars-cov-2-workflow/workflow/dstat/fastqc/SEE_4C-8R_SRR11178051_06-04-2020-03-21-32.csv",,,,"Date:","04 Jun 2020 03:21:56 -03"
"io/total",,"system",,"paging",,"interrupts",,,"load avg",,,"procs",,,"swap",,"system","epoch"
"read","writ","int","csw","in","out","12","18","56","1m","5m","15m","run","blk","new","used","free","time","epoch"
0.106,0.204,84.505,87.326,17.916,75.997,0.000,5.803,0.496,1.710,2.060,2.030,1,2,0.145,31920128,8553816064,04-06 03:21:56,1591251716.979
0,24,2857,3270,0,0,0,36,0,1.710,2.060,2.030,1,1,18,31920128,8553816064,04-06 03:21:57,1591251717.979
0,83,1242,772,0,0,0,88,1,1.710,2.060,2.030,1,1,0,31920128,8553816064,04-06 03:21:58,1591251718.980
1,20,694,566,0,0,0,26,0,1.710,2.060,2.030,1,1,0,31920128,8553816064,04-06 03:21:59,1591251719.980
0,38,569,440,0,0,0,58,1,1.710,2.060,2.030,1,1,0,31920128,8553816064,04-06 03:22:00,1591251720.980
0,2,518,407,0,0,0,12,0,1.650,2.050,2.020,1,0,0,31920128,8553816064,04-06 03:22:01,1591251721.980
1,2,597,405,0,0,0,44,1,1.650,2.050,2.020,1,0,0,31920128,8553816064,04-06 03:22:02,1591251722.980
0,0,445,276,0,0,0,3,0,1.650,2.050,2.020,1,0,0,31920128,8553816064,04-06 03:22:03,1591251723.980
0,0,452,278,0,0,0,9,1,1.650,2.050,2.020,1,0,0,31920128,8553816064,04-06 03:22:04,1591251724.980
0,46,551,324,0,0,0,49,0,1.650,2.050,2.020,1,1,0,31920128,8553816064,04-06 03:22:05,1591251725.980
1,132,723,814,0,0,0,135,1,1.680,2.050,2.020,1,1,0,31920128,8553816064,04-06 03:22:06,1591251726.980
1,139,776,430,0,0,0,148,0,1.680,2.050,2.020,1,1,0,31920128,8553816064,04-06 03:22:07,1591251727.980
1,63,577,309,0,0,0,68,1,1.680,2.050,2.020,1,1,0,31920128,8553816064,04-06 03:22:08,1591251728.980
0,11,481,285,0,0,0,28,0,1.680,2.050,2.020,2,0,0,31920128,8553816064,04-06 03:22:09,1591251729.980
0,11,502,318,0,0,0,30,1,1.680,2.050,2.020,1,1,0,31920128,8553816064,04-06 03:22:10,1591251730.979
1,65,616,659,0,0,0,74,0,1.790,2.060,2.030,1,1,0,31920128,8553816064,04-06 03:22:11,1591251731.980
0,48,573,350,0,0,0,72,1,1.790,2.060,2.030,1,1,0,31920128,8553816064,04-06 03:22:12,1591251732.980
1,150,756,378,0,0,0,157,0,1.790,2.060,2.030,1,1,0,31920128,8553816064,04-06 03:22:13,1591251733.980
0,50,543,320,0,0,0,51,1,1.790,2.060,2.030,1,0,0,31920128,8553816064,04-06 03:22:14,1591251734.980
1,0,505,370,0,0,0,28,0,1.790,2.060,2.030,1,0,0,31920128,8553816064,04-06 03:22:15,1591251735.980
0,2,471,333,0,0,0,11,1,1.720,2.040,2.020,1,0,0,31920128,8553816064,04-06 03:22:16,1591251736.980
1,0,496,362,0,0,0,28,0,1.720,2.040,2.020,1,0,0,31920128,8553816064,04-06 03:22:17,1591251737.980
0,0,489,369,0,0,0,5,1,1.720,2.040,2.020,1,0,0,31920128,8553816064,04-06 03:22:18,1591251738.980
0,0,501,369,0,0,0,25,0,1.720,2.040,2.020,2,0,0,31920128,8553816064,04-06 03:22:19,1591251739.979
1,0,533,414,0,0,0,41,1,1.720,2.040,2.020,1,0,0,31920128,8553816064,04-06 03:22:20,1591251740.980
0,2,489,378,0,0,0,11,0,1.670,2.030,2.020,1,0,0,31920128,8553816064,04-06 03:22:21,1591251741.980
0,0,520,399,0,0,0,8,1,1.670,2.030,2.020,1,0,0,31920128,8553816064,04-06 03:22:22,1591251742.980
1,0,545,451,0,0,0,28,0,1.670,2.030,2.020,1,0,0,31920128,8553816064,04-06 03:22:23,1591251743.980
0,0,520,425,0,0,0,16,1,1.670,2.030,2.020,2,0,0,31920128,8553816064,04-06 03:22:24,1591251744.980
0,0,899,955,0,0,0,12,0,1.670,2.030,2.020,2,0,0,31920128,8553816064,04-06 03:22:25,1591251745.980
1,2,1914,2677,0,0,0,29,1,1.690,2.030,2.010,2,0,3,31920128,8553816064,04-06 03:22:26,1591251746.980
1,1,1101,968,0,0,0,28,0,1.690,2.030,2.010,4,0,1,31920128,8553816064,04-06 03:22:27,1591251747.979
