"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","S650SV068",,,,"User:","root"
"Cmdline:","dstat -C -D -N -m -r -y -g -i -l -p -s -t -T --noheaders --output /home/matheus/sars-cov-2-workflow/workflow/dstat/nanofilt/SEE_4C-8R_SRR11178050_06-04-2020-11-14-45.csv",,,,"Date:","04 Jun 2020 11:15:07 -03"
"io/total",,"system",,"paging",,"interrupts",,,"load avg",,,"procs",,,"swap",,"system","epoch"
"read","writ","int","csw","in","out","12","18","56","1m","5m","15m","run","blk","new","used","free","time","epoch"
0.111,0.212,85.807,87.789,27.079,81.859,0.000,5.836,0.496,0.350,0.080,0.030,1,0,0.156,24342528,8561393664,04-06 11:15:07,1591280107.621
0,0,363,189,0,0,0,5,1,0.350,0.080,0.030,1,0,0,24342528,8561393664,04-06 11:15:08,1591280108.622
0,0,297,72,0,0,0,2,0,0.400,0.100,0.030,1,0,0,24342528,8561393664,04-06 11:15:09,1591280109.622
0,2,348,118,0,0,0,12,1,0.400,0.100,0.030,1,0,0,24342528,8561393664,04-06 11:15:10,1591280110.622
0,0,311,83,0,0,0,3,0,0.400,0.100,0.030,1,0,0,24342528,8561393664,04-06 11:15:11,1591280111.622
0,2,329,115,0,0,0,11,1,0.400,0.100,0.030,1,0,0,24342528,8561393664,04-06 11:15:12,1591280112.622
0,0,311,78,0,0,0,2,0,0.400,0.100,0.030,1,0,0,24342528,8561393664,04-06 11:15:13,1591280113.622
0,0,320,81,0,0,0,3,1,0.450,0.110,0.040,1,0,0,24342528,8561393664,04-06 11:15:14,1591280114.622
0,0,312,75,0,0,0,2,0,0.450,0.110,0.040,1,0,0,24342528,8561393664,04-06 11:15:15,1591280115.622
0,0,330,92,0,0,0,7,1,0.450,0.110,0.040,1,0,0,24342528,8561393664,04-06 11:15:16,1591280116.622
0,2,339,99,0,0,0,8,0,0.450,0.110,0.040,1,0,0,24342528,8561393664,04-06 11:15:17,1591280117.622
0,0,319,84,0,0,0,4,1,0.450,0.110,0.040,1,0,0,24342528,8561393664,04-06 11:15:18,1591280118.622
0,0,319,74,0,0,0,6,0,0.500,0.130,0.040,1,0,0,24342528,8561393664,04-06 11:15:19,1591280119.622
0,0,321,79,0,0,0,7,1,0.500,0.130,0.040,1,0,0,24342528,8561393664,04-06 11:15:20,1591280120.622
0,0,316,77,0,0,0,4,0,0.500,0.130,0.040,1,0,0,24342528,8561393664,04-06 11:15:21,1591280121.622
0,2,370,131,0,0,0,14,1,0.500,0.130,0.040,1,0,0,24342528,8561393664,04-06 11:15:22,1591280122.622
0,0,326,86,0,0,0,6,0,0.500,0.130,0.040,1,0,0,24342528,8561393664,04-06 11:15:23,1591280123.622
0,0,318,74,0,0,0,5,1,0.540,0.140,0.050,1,0,0,24342528,8561393664,04-06 11:15:24,1591280124.622
0,15,328,72,0,0,0,12,0,0.540,0.140,0.050,1,0,0,24342528,8561393664,04-06 11:15:25,1591280125.622
0,0,333,86,0,0,0,5,1,0.540,0.140,0.050,1,0,0,24342528,8561393664,04-06 11:15:26,1591280126.622
0,2,324,84,0,0,0,5,0,0.540,0.140,0.050,1,0,0,24342528,8561393664,04-06 11:15:27,1591280127.622
0,5,326,70,0,0,0,9,1,0.540,0.140,0.050,1,0,0,24342528,8561393664,04-06 11:15:28,1591280128.622
0,0,312,68,0,0,0,3,0,0.570,0.160,0.050,1,0,0,24342528,8561393664,04-06 11:15:29,1591280129.622
0,0,323,86,0,0,0,9,1,0.570,0.160,0.050,1,0,0,24342528,8561393664,04-06 11:15:30,1591280130.622
0,0,316,80,0,0,0,3,0,0.570,0.160,0.050,1,0,0,24342528,8561393664,04-06 11:15:31,1591280131.622
0,2,350,114,0,0,0,9,1,0.570,0.160,0.050,1,0,0,24342528,8561393664,04-06 11:15:32,1591280132.622
0,0,316,79,0,0,0,3,0,0.570,0.160,0.050,1,0,0,24342528,8561393664,04-06 11:15:33,1591280133.622
0,0,330,99,0,0,0,7,1,0.610,0.170,0.060,1,0,0,24342528,8561393664,04-06 11:15:34,1591280134.622
0,0,326,86,0,0,0,7,0,0.610,0.170,0.060,1,0,0,24342528,8561393664,04-06 11:15:35,1591280135.622
0,2,329,79,0,0,0,5,1,0.610,0.170,0.060,1,0,0,24342528,8561393664,04-06 11:15:36,1591280136.622
0,4,332,83,0,0,0,6,0,0.610,0.170,0.060,1,0,0,24342528,8561393664,04-06 11:15:37,1591280137.622
0,0,325,80,0,0,0,3,1,0.610,0.170,0.060,1,0,0,24342528,8561393664,04-06 11:15:38,1591280138.622
0,0,319,82,0,0,0,5,0,0.640,0.180,0.060,1,0,0,24342528,8561393664,04-06 11:15:39,1591280139.622
0,0,317,74,0,0,0,5,1,0.640,0.180,0.060,1,0,0,24342528,8561393664,04-06 11:15:40,1591280140.622
1,100,508,140,0,0,0,101,0,0.640,0.180,0.060,1,0,0,24342528,8561393664,04-06 11:15:41,1591280141.622
0,10,353,98,0,0,0,13,1,0.640,0.180,0.060,1,0,0,24342528,8561393664,04-06 11:15:42,1591280142.622
0,0,315,73,0,0,0,2,0,0.640,0.180,0.060,1,0,0,24342528,8561393664,04-06 11:15:43,1591280143.622
0,0,313,74,0,0,0,3,1,0.670,0.200,0.070,1,0,0,24342528,8561393664,04-06 11:15:44,1591280144.622
0,0,311,70,0,0,0,2,0,0.670,0.200,0.070,1,0,0,24342528,8561393664,04-06 11:15:45,1591280145.622
0,0,321,88,0,0,0,3,1,0.670,0.200,0.070,1,0,0,24342528,8561393664,04-06 11:15:46,1591280146.622
0,2,330,86,0,0,0,5,0,0.670,0.200,0.070,1,0,0,24342528,8561393664,04-06 11:15:47,1591280147.622
0,0,308,71,0,0,0,3,1,0.670,0.200,0.070,1,0,0,24342528,8561393664,04-06 11:15:48,1591280148.622
0,0,302,60,0,0,0,1,0,0.700,0.210,0.080,1,0,0,24342528,8561393664,04-06 11:15:49,1591280149.622
0,0,321,84,0,0,0,4,1,0.700,0.210,0.080,1,0,0,24342528,8561393664,04-06 11:15:50,1591280150.622
0,0,306,64,0,0,0,2,0,0.700,0.210,0.080,1,0,0,24342528,8561393664,04-06 11:15:51,1591280151.622
0,2,328,88,0,0,0,5,1,0.700,0.210,0.080,1,0,0,24342528,8561393664,04-06 11:15:52,1591280152.622
0,0,308,68,0,0,0,2,0,0.700,0.210,0.080,1,0,0,24342528,8561393664,04-06 11:15:53,1591280153.622
0,0,319,85,0,0,0,5,1,0.720,0.230,0.080,1,0,0,24342528,8561393664,04-06 11:15:54,1591280154.622
0,0,327,87,0,0,0,6,0,0.720,0.230,0.080,1,0,0,24342528,8561393664,04-06 11:15:55,1591280155.622
0,0,316,78,0,0,0,3,1,0.720,0.230,0.080,1,0,0,24342528,8561393664,04-06 11:15:56,1591280156.622
0,2,329,89,0,0,0,4,0,0.720,0.230,0.080,1,0,0,24342528,8561393664,04-06 11:15:57,1591280157.622
0,0,320,84,0,0,0,4,1,0.720,0.230,0.080,1,0,0,24342528,8561393664,04-06 11:15:58,1591280158.622
0,0,311,72,0,0,0,3,0,0.740,0.240,0.090,1,0,0,24342528,8561393664,04-06 11:15:59,1591280159.622
0,0,322,82,0,0,0,10,1,0.740,0.240,0.090,1,0,0,24342528,8561393664,04-06 11:16:00,1591280160.622
0,0,317,75,0,0,0,3,0,0.740,0.240,0.090,1,0,0,24342528,8561393664,04-06 11:16:01,1591280161.622
0,9,347,98,0,0,0,11,1,0.740,0.240,0.090,1,0,0,24342528,8561393664,04-06 11:16:02,1591280162.622
0,0,318,80,0,0,0,3,0,0.740,0.240,0.090,1,0,0,24342528,8561393664,04-06 11:16:03,1591280163.622
0,0,316,77,0,0,0,5,1,0.760,0.250,0.090,1,0,0,24342528,8561393664,04-06 11:16:04,1591280164.622
0,0,312,70,0,0,0,2,0,0.760,0.250,0.090,1,0,0,24342528,8561393664,04-06 11:16:05,1591280165.622
0,0,325,93,0,0,0,5,1,0.760,0.250,0.090,1,0,0,24342528,8561393664,04-06 11:16:06,1591280166.622
0,2,332,90,0,0,0,6,0,0.760,0.250,0.090,1,0,0,24342528,8561393664,04-06 11:16:07,1591280167.622
0,0,323,86,0,0,0,6,1,0.760,0.250,0.090,1,0,0,24342528,8561393664,04-06 11:16:08,1591280168.622
0,0,314,65,0,0,0,4,0,0.780,0.260,0.100,1,0,0,24342528,8561393664,04-06 11:16:09,1591280169.622
0,0,335,100,0,0,0,6,1,0.780,0.260,0.100,1,0,0,24342528,8561393664,04-06 11:16:10,1591280170.622
